item_nbr,week,unit_sales,perishable,1_week_ago_unit_sales,2_week_ago_unit_sales,3_week_ago_unit_sales,4_week_ago_unit_sales,5_week_ago_unit_sales,6_week_ago_unit_sales,7_week_ago_unit_sales,8_week_ago_unit_sales,9_week_ago_unit_sales,10_week_ago_unit_sales,1_week_ago_diff__10_week_ago_unit_sales,family_AUTOMOTIVE,family_BABY_CARE,family_BEAUTY,family_BEVERAGES,family_BOOKS,family_BREAD_BAKERY,family_CELEBRATION,family_CLEANING,family_DAIRY,family_DELI,family_EGGS,family_FROZEN_FOODS,family_GROCERY_I,family_GROCERY_II,family_HARDWARE,family_HOME_AND_KITCHEN_I,family_HOME_AND_KITCHEN_II,family_HOME_CARE,family_LADIESWEAR,family_LAWN_AND_GARDEN,family_LINGERIE,family_LIQUOR_WINE_BEER,family_MAGAZINES,family_MEATS,family_PERSONAL_CARE,family_PET_SUPPLIES,family_PLAYERS_AND_ELECTRONICS,family_POULTRY,family_PREPARED_FOODS,family_PRODUCE,family_SCHOOL_AND_OFFICE_SUPPLIES,family_SEAFOOD,city_Ambato,city_Babahoyo,city_Cayambe,city_Cuenca,city_Daule,city_El_Carmen,city_Esmeraldas,city_Guaranda,city_Guayaquil,city_Ibarra,city_Latacunga,city_Libertad,city_Loja,city_Machala,city_Manta,city_Playas,city_Puyo,city_Quevedo,city_Quito,city_Riobamba,city_Salinas,city_Santo_Domingo
1386506,33,5.0,0,9.0,15.0,5.0,65.0,2.0,3.0,1.0,9.0,2.0,18.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239808,33,24.0,1,14.0,24.0,21.0,51.0,21.0,67.0,40.0,29.0,11.0,20.0,-9.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072173,33,27.0,1,14.0,25.0,59.0,15.0,82.0,28.0,14.0,47.0,42.0,6.0,-45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464042,33,2.0,0,3.0,25.0,609.0,8.0,76.0,65.0,8.0,12.0,32.0,62.0,-23.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360009,33,12.0,0,28.0,3.0,2.0,11.0,13.0,14.0,11.0,36.0,5.0,55.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1457202,33,11.0,0,1.0,14.0,9.0,29.0,76.0,14.0,26.0,11.0,3.0,26.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094238,33,2.0,0,7.0,2.0,5.0,11.0,5.0,6.0,15.0,18.0,6.0,76.0,64.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464043,33,34.0,0,646.0,22.0,14.0,2.0,42.0,62.0,3.0,33.0,7.0,32.0,-29.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099230,33,6.0,0,3.0,2.0,5.0,1.0,9.0,2.0,6.0,2.0,2.0,6.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464238,33,58.0,0,132.0,269.0,58.0,311.0,390.0,392.0,68.0,102.0,300.0,80.0,-176.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346628,33,11.0,0,6.0,127.0,4.0,13.0,1.0,2.0,6.0,1.0,8.0,5.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062912,33,5.0,0,3.0,10.0,1.0,20.0,2.0,9.0,5.0,1.0,4.0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229676,33,5.0,0,3.0,8.0,1.0,1.0,4.0,5.0,101.0,1.0,6.0,5.0,-182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360010,33,2.0,0,6.0,2.0,2.0,1.0,2.0,5.0,11.0,3.0,84.0,4.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1455485,33,40.0,0,2.0,4.0,1.0,111.0,35.0,840.0,31.0,93.0,32.0,60.0,-17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
